Audit ID,auditor_unique_entity_id,Operator Id,Distance Checker (>10 km),Distance (km),latitude 1,Latitude 2,longitude 1,Longitude 2
IAR_T-03611_250505134304_IK00108187_0000,T-1000000000003611,IK00108187,Yes,27.281723890314332,10.961974,11.1325025,8.3774994,8.1977691
IAR_T-04802_250505134531_IK00190753_0000,T-1000000000004802,IK00190753,Yes,33.72129526459497,10.3426495,10.4100967,8.4293667,8.72995
IAR_T-07053_250505134956_IK00189610_0000,T-1000000000007053,IK00189610,Yes,13.221263370333284,10.4734325,10.474161,8.938413,8.8174989
IAR_T-09570_250505155651_IK00016071_0000,T-1000000000009570,IK00016071,Yes,11.921644281870126,11.07775,11.1698212,8.28688,8.2308944
IAR_T-00426_250505150815_IK00036967_0000,T-1000000000000426,IK00036967,No,0.009751378677335705,11.5186059,11.5186873,7.7642034,7.7642367
IAR_T-01518_250505135910_IK00000034_0000,T-1000000000001518,IK00000034,No,7.404157599715671,11.1924464,11.1697248,8.1675793,8.2313809
IAR_T-03770_250505082854_IK00138898_0000,T-1000000000003770,IK00138898,No,0.014135304011710011,10.3037211,10.3037925,8.6366783,8.6367852
IAR_T-04246_250505124628_IK00104004_0000,T-1000000000004246,IK00104004,No,0.005099150023041146,11.322508,11.3224933,7.3327174,7.3327617
IAR_T-05183_250505111527_IK00178158_0000,T-1000000000005183,IK00178158,No,0.010539925066609446,10.030035,10.0301233,8.4169217,8.4168867
IAR_T-05497_250505105137_IK00005428_0000,T-1000000000005497,IK00005428,No,0.00944060375514907,11.0079136,11.00798,7.8800261,7.88008
IAR_T-07117_250505105259_IK00330150_0000,T-1000000000007117,IK00330150,No,0.00787567337935105,8.4563541,8.4562833,11.1079453,11.1079433
IAR_T-07422_250505160317_IK00191337_0000,T-1000000000007422,IK00191337,No,3.09385011022776,11.3351567,11.3079095,7.2030067,7.1972605
IAR_T-07422_250505162244_IK00104253_0000,T-1000000000007422,IK00104253,No,3.290713715818815,11.3372083,11.3081396,7.2028833,7.1972214
IAR_T-07422_250505162700_IK00104239_0000,T-1000000000007422,IK00104239,No,3.2849667390660406,11.33718,11.3081667,7.20293,7.1972533
IAR_T-07640_250505091844_IK00117439_0000,T-1000000000007640,IK00117439,No,0.050400473006954744,10.4552174,10.454771,8.3138267,8.3139066
IAR_T-07705_250505131744_IK00157450_0000,T-1000000000007705,IK00157450,No,0.03371752183763278,11.85174,11.8519497,7.7051583,7.7049345
IAR_T-07705_250505140308_IK00157470_0000,T-1000000000007705,IK00157470,No,0.010663573045453114,11.7731831,11.773165,7.7514262,7.75133
IAR_T-07710_250505122042_IK00160449_0000,T-1000000000007710,IK00160449,No,8.771464001984194,11.8145962,11.83407,7.7700739,7.8481733
